číselník,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_en
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/1361,1361,H2020 / SME Innovation Associate
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/4830,4830,HE
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/4831,4831,HE / ERC
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/4832,4832,HE / EIC
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/4833,4833,HE / EIT
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/4834,4834,HE / MSCA
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/4835,4835,HE / MSCA COFUND
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/4836,4836,HE / SME Innovation Associate
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/5832,5832,ERASMUS+
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/5927,5927,Interreg
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/865,865,H2020
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/866,866,H2020 / ERC
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/867,867,H2020 / Marie Skłodowska-Curie Actions
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/868,868,H2020 / Marie Skłodowska-Curie Actions COFUND
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/869,869,H2020 / EIT
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/870,870,FP7
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/871,871,FP7 / Ideas-ERC
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/872,872,FP7 / People-Marie Curie Actions
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/873,873,FP7 / People-Marie Curie Actions COFUND
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/874,874,FP7 / JRC
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu,EU Framework Programme,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-programy-eu/položky/875,875,Not funded by an EU programme
