číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_nadřazená
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/A,A,Společenské vědy,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/B,B,Fyzika a matematika,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/C,C,Chemie,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/D,D,Vědy o zemi,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/E,E,Biovědy,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/F,F,Lékařské vědy,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/G,G,Zemědělství,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/I,I,Informatika,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/J,J,Průmysl,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/K,K,Vojenství,
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/AA,AA,Filosofie a náboženství,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/A
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/AB,AB,Dějiny,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/A
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/AC,AC,"Archeologie, antropologie, etnologie",https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/A
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/AD,AD,Politologie a politické vědy,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/A
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/AE,AE,"Řízení, správa a administrativa",https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/A
https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů,Klasifikace oborů ISVaV,Research fields classification,https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/AF,AF,"Dokumentace, knihovnictví, práce s informacemi",https://data.mff.cuni.cz/zdroj/číselníky/klasifikace-výzkumných-oborů/položky/A
