číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_cs,číselník_položka_název_en,číselník_položka_tranzitivně_širší_položka
https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura,Organizační struktura MFF UK,Organizational structure of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116,116,Matematicko-fyzikální fakulta,Faculty of Mathematics and Physics,
https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura,Organizační struktura MFF UK,Organizational structure of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/0,0,Orgány fakulty,Authorities of the Faculty,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116
https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura,Organizační struktura MFF UK,Organizational structure of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/1170,1170,Fyzikální sekce,School of Physics,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116
https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura,Organizační struktura MFF UK,Organizational structure of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/1171,1171,Informatická sekce,School of Computer Science,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116
https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura,Organizační struktura MFF UK,Organizational structure of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/1172,1172,Matematická sekce,School of Mathematics,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116
https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura,Organizační struktura MFF UK,Organizational structure of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/1175,1175,Jiná pracoviště,Other Departments,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116
https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura,Organizační struktura MFF UK,Organizational structure of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/1173,1173,Účelová zařízení,Technical Support,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116
https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura,Organizační struktura MFF UK,Organizational structure of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/1174,1174,Děkanát,Dean's Office,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/fakulty/116
https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura,Organizační struktura MFF UK,Organizational structure of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/oddělení/5,5,Poradní orgány vedení fakulty,The Advisory Body of the Faculty Management,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/0
https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura,Organizační struktura MFF UK,Organizational structure of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/oddělení/4,4,Disciplinární komise,Disciplinary Board,https://data.mff.cuni.cz/zdroj/číselníky/organizační-struktura/skupiny/0
